,Area_A1,Area_A2,Area_A3,Area_A_PB,Area_D1,Area_D2,Area_D3,Area_D_PB,Area_Pool_QC_1,Area_Pool_QC_2,Area_Pool_QC_3,Area_S1,Area_S2,Area_S3,Area_S_PB
Compound_1,265824306.4,249862431.6,271210375.4,7046612.103,518819267.8,436110867.9,434781580.1,6056287.979,355780176.3,291380274.3,366704241.4,217651908.8,259816891.4,284365018.8,8705711.36
Compound_2,2992915.476,3196963.754,2217133.219,127523.3517,2444736.759,2375548.796,2710207.604,124251.1562,2256504.384,2239972.537,2166983.074,495476.228,555625.7203,488089.6126,121609.1581
Compound_3,199253397.5,230703729.4,195799084.2,17498333.29,438439300.7,361088189.2,339547114.4,21329506.65,247027086.5,227565332.1,225202616.7,113022958.2,105372409.5,108985225.7,20341271.18
Compound_4,25240911.25,26805628.12,26843860.33,107703.0121,728626.357,1709534.51,1317685.857,148071.1183,12843483.03,12085565.93,14565819.9,516828.2953,508819.0431,4067251.895,104719.2438
Compound_5,58792420.3,57936189.89,57408264.35,95480.5337,210313.4722,216097.9043,191853.5608,237246.0081,24255530.82,20481612.42,20575975.07,158717.9698,176875.7131,185301.5422,104285.3494
Compound_6,130908997.7,121712696.3,120761248.9,5317744.583,52935985.18,54102570.39,53556287.13,6284114.037,84518125.26,79174349.32,81518245.89,49263695.99,56378395.32,53963720.21,4797466.479
Compound_7,103781776.9,95296846.5,100909756.3,3339899.579,74556860.52,69580884.15,63537240.1,2410354.139,75433612.66,72130921.7,78093875.16,35681333.85,44499969,45694045.18,2405015.006
Compound_8,10157718.03,9514308.772,9004219.43,3711326.735,355958200.2,363771284.7,337899674.4,479998.0101,131364165.7,120669750.5,116651089,8156850.436,9135743.986,8385527.768,7953736.623
Compound_9,5450556.801,4976436.698,4537731.139,181394.4727,3590243.048,4122316.679,3964723.091,240157.1567,4785412.025,4197102.461,4466352.336,3466183.798,4734371.573,4542319.851,198553.9413
Compound_10,11979620.17,11959465.99,11850865.39,571370.7049,321651708.7,316165669.8,325701833.1,207908.2304,129846719.9,107660473.5,99992793.53,18069041.86,26336613.75,28005379.88,828641.8409
Compound_11,14724921.04,16588566.53,28485326.75,1095569.47,1099156.9,1173563.271,820921.5544,1983888.869,10031509.25,9792559.575,10914676.58,1730381.766,1902261.276,2078092.626,415831.8654
Compound_12,9232656.02,10831760.13,9185831.305,800294.3791,20566226.05,16879845.63,15862173.2,898916.7521,11531864.4,11098788.68,10269640.32,5224715.644,4910616.468,5052567.15,886815.4422
Compound_13,103863783.4,102971356.4,95688322.83,3190472.11,87982228,87628798.32,88352177.01,3599089.528,91562405.03,81493781.04,82748857.18,59016232.34,66710097,67345591.31,3528804.793
Compound_14,12137333.59,13000427.62,12653531.13,294163.8195,516959.2921,637701.1688,567588.3094,702652.3489,5415448.683,4732599.473,5230912.231,167601.1659,100067.5638,152372.8178,52380.57572
Compound_15,38281852.31,33503114.45,32609668.3,569817.1577,33669191.01,34399391.51,32933899.94,437811.3218,32635172.04,30863932.23,28190089.95,15195363.03,18755532.62,18981419.28,711602.3414
Compound_16,143808428,141224564.9,95553190.92,438296.2915,212181324.7,67927036.17,69197327.25,414046.5586,106558519.3,146218744.9,18864634.18,34297724.21,58219767.19,8608102.643,675941.8119
Compound_17,20619507.94,19815995.44,19764545.91,100885.2973,15516806.99,19022348.47,18210285.95,102290.7268,17282537.94,13965422.8,14688382.22,1786213.598,2296893.622,2657296.224,105499.9913
Compound_18,29065043.39,28345669.21,29397157.89,95513.06405,21289044.95,20414545.81,19395882.01,100368.925,28482501.19,25769987.81,24157726.21,20977137.9,24813284.95,25490328.28,99426.85911
Compound_19,5966337.511,5987592.086,6038987.24,64968.75501,7276424.973,4487443.967,5709666.615,61918.88511,6404666.902,6235122.007,5478662.776,4224876.839,4856778.03,5278985.645,60692.6081
Compound_20,115761053.4,109481923.3,108692899.2,372609.2394,111109337.7,104432934.8,103067726.6,104463.0834,123681783,109724307.3,124726762.5,94247595.1,110050069.6,114573283.7,193059.0352
Compound_21,45112379.43,51265175.18,48334613.12,136613.4651,35665618.29,37499501.47,39426937.5,90296.89013,37647328.7,36327729.1,36859091.34,19872313.83,15329629.35,17145925.69,93129.86058
Compound_22,159148879.6,157078288.9,155203421.4,1004243.063,167173946.3,170767539.3,166825168.7,1242352.9,169550050,144067411.3,156462599.3,97032864.03,119001162.5,125194592.5,1142594.242
Compound_23,1781599087,1727362825,1732518861,30385575.08,1699697937,1764735757,1721668042,39523741.75,2150219319,1874266941,1941428831,1998867295,2397138632,2430577209,30573952.44
Compound_24,9367955.967,9412502.04,9912442.997,56571.13558,11426080.35,10780951.98,10722073.56,75388.09702,10951936.05,9122455.854,7961010.643,9174307.031,10325907.81,11082508.99,82807.93014
Compound_25,8752140.683,9199372.073,9343654.732,84520.4745,9315749.408,8046019.668,8239198.292,84604.7946,11729302.42,10827602.97,9103734.75,12514044.1,15272188.63,15671337.37,87473.15398
Compound_26,79780755.8,79282233.28,80258776.13,1214072.162,91553932.62,92563425.42,82367255.48,1286849.551,70106307.03,61760338.83,64850887.18,15860066.48,19094132.64,16541315.2,1317422.717
Compound_27,18985742.65,19350041.1,19199911.66,161263.681,12151786.67,11481304.84,11673411.72,176355.8252,13914443.19,11796554.22,13019335.64,3804582.254,4031801.555,5072386.78,175417.6437
Compound_28,868221157.8,851491392.7,857288330.4,10236669.45,639705837,663061202.2,523513405.2,9547754.606,765271584.3,688715229.1,696565568.3,493962507.9,580025768.5,587940961.4,5538447.249
Compound_29,253020988.1,261969434.6,258363165.8,349878.4235,304614603.7,249065658.3,250039838.4,686872.2219,239699912.2,231127915.3,197825235.4,146227957.9,172209566.2,165164847.5,976741.3626
Compound_30,60220305.01,59977861.46,57967273.32,152813.9431,41207920.08,41156122.99,44410780.13,154793.2177,45993987.14,35514824.93,7845697.907,7139025.922,10263303.03,10814929.03,154747.7367
Compound_31,76794600.33,78066303.34,76437221.56,1176423.371,101916998.5,104855054.7,98587054.46,1185484.847,75697047.9,67171288.97,68192775.02,31088448.55,35790372.07,33060018.07,1436655.534
Compound_32,32187523.82,30354316.78,30750274.99,98585.64829,30923048.8,31467887.2,30878198.78,160785.0215,25943118.94,25525421.98,25239627.68,7590878.712,9671918.19,10014585.63,103269.8375
Compound_33,187851931.2,188662007.1,190452310.3,521120.2707,241888730.5,238022723.2,229709681,476334.5375,219976640.5,186464404.3,186639892.5,121143704.4,152844709.5,158563334.1,627161.0438
Compound_34,37997848.53,36686644.23,34846394.76,710108.9699,33684466.67,42596886.05,42003110.63,573429.839,38170557.65,32793810.11,34155250.74,19787414.64,25277552.03,25720594.52,435453.4116
Compound_35,275770066,269809818.8,275312612,207909.9588,186172291.6,165339014.8,165613608.8,203983.889,247959586.6,214119968.2,148271174.5,157036914.6,143938405.3,122768868.5,344628.3554
Compound_36,44451644.52,51630420.05,57731168.81,92179.57435,32474911.45,32412201.74,30933841.78,166077.0736,44403852.52,42004726.57,44033710.85,14724497.39,60525284.89,64738967.28,91413.41013
Compound_37,14001476.09,14980024.05,13444605.88,79510.29934,580438.6652,2683782.643,617783.1467,88122.82544,7692058.349,7247525.023,6453964.559,1175105.16,533715.3099,1461683.81,89279.41791
